sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
booking_hcm_85027:2,the bar on the top floor was beautiful .,the bar on the top floor was beautiful,facility,positive,facility positive,yes,1,9
booking_hcm_85027:3,felt like a boutique - y four seasons .,felt like a boutique - y four seasons,experience,positive,experience positive,yes,1,9
booking_hcm_85027:4,gym was really nice too .,gym was really nice too,facility,positive,facility positive,yes,1,6
booking_hcm_85027:5,service was great except at the pool .,service was great except at the pool,service,neutral,service neutral,yes,1,8
booking_hcm_85027:6,constantly had to walk all the way to the restaurant or around the ( quite large ) pool to get attention of servers who would walk around collecting glasses or refilling the water etc but don’t actually pay attention to clients trying to wave them down .,constantly had to walk all the way to the restaurant or around the ( quite large ) pool to get attention of servers who would walk around collecting glasses or refilling the water etc but don’t actually pay attention to clients trying to wave them down,service,negative,service negative,yes,1,47
booking_hcm_85027:7,"Then when food is served and you ask for a condiment , you have to walk back to the restaurant another 15 minutes later to remind them because they forgot .","then when food is served and you ask for a condiment , you have to walk back to the restaurant another 15 minutes later to remind them because they forgot",service,negative,service negative,yes,0,0
booking_hcm_85027:8,Then by then the food is cold .,then by then the food is cold,service,negative,service negative,yes,0,0
booking_hcm_85027:9,Frequently saw 2 - 3 servers standing around the restaurant entrance chatting with each other and not looking around while people at the pool were trying to get their attention .,frequently saw 2 - 3 servers standing around the restaurant entrance chatting with each other and not looking around while people at the pool were trying to get their attention,service,negative,service negative,yes,0,0
booking_hcm_85027:10,the grass cutting by the pool was super loud and lasted for hours .,the grass cutting by the pool was super loud and lasted for hours,experience,negative,experience negative,yes,1,14
booking_hcm_85027:11,stirring up lots of insects .,stirring up lots of insects,experience,negative,experience negative,yes,1,6
booking_hcm_85027:12,I don’t think we would come back again for more than one night because it isn’t enjoyable to sit by the pool .,i don’t think we would come back again for more than one night because it isn’t enjoyable to sit by the pool,loyalty,negative,loyalty negative,yes,0,0
booking_hcm_85027:13,"But we still would come back for the rooms , gym and food .","but we still would come back for the rooms , gym and food",loyalty,positive,loyalty positive,yes,0,0
booking_hcm_85027:14,"If it weren’t for the pool experience being unpleasant , I would say this is the perfect place for a staycation .","if it weren’t for the pool experience being unpleasant , i would say this is the perfect place for a staycation",branding,neutral,branding neutral,yes,0,0
booking_hcm_85027:15,It was disappointing that at a place like this after you walk to the restaurant from the other side of the pool to ask for a menu and show the server where you are sitting .,it was disappointing that at a place like this after you walk to the restaurant from the other side of the pool to ask for a menu and show the server where you are sitting,service,negative,service negative,yes,0,0
booking_hcm_85027:16,you have to walk back again because no one actually comes by to take your order after 15 minutes .,you have to walk back again because no one actually comes by to take your order after 15 minutes,service,negative,service negative,yes,1,20
booking_full_264732:0,"Staff is incredible . Love them . Always helping me , asking me questions and recommend good things to do . Very friendly people .","staff is incredible . love them . always helping me , asking me questions and recommend good things to do . very friendly people",service,positive,service positive,yes,0,0
booking_hn_32657:0,Extremely great stay at the central of Hanoi Out of expectations .,extremely great stay at the central of hanoi out of expectations,branding,positive,branding positive,yes,0,0
booking_hn_32657:1,we would highly recommend it .,we would highly recommend it,loyalty,positive,loyalty positive,yes,1,6
booking_hn_32657:2,"The staff is very friendly and helpful , they always show us how beautiful their smile is and really care for our stay if we need any suggestions .","the staff is very friendly and helpful , they always show us how beautiful their smile is and really care for our stay if we need any suggestions",service,positive,service positive,yes,0,0
booking_hcm_77842:0,Good location .,good location,amenity,positive,amenity positive,yes,0,0
booking_hcm_77842:1,Nice and clean rooms .,nice and clean rooms,facility,positive,facility positive,yes,0,0
booking_hcm_77842:2,Superfriendly staff .,superfriendly staff,service,positive,service positive,yes,0,0
booking_full_368839:0,We adored the Nam An Mama Villa .,we adored the nam an mama villa,branding,positive,branding positive,yes,0,0
booking_full_368839:1,"The location , the hosts , the free bike rentals and accommodations were wonderful .","the location , the hosts , the free bike rentals and accommodations were wonderful",experience,positive,experience positive,yes,0,0
booking_full_368839:2,They went out of the way to make sure your visit was enjoyable .,they went out of the way to make sure your visit was enjoyable,service,positive,service positive,yes,0,0
booking_full_368839:3,"We really enjoyed the breakfast menu , the food was delicious and plentiful .","we really enjoyed the breakfast menu , the food was delicious and plentiful",service,positive,service positive,yes,0,0
booking_full_368839:4,I highly recommend the Nam An mama Villa .,i highly recommend the nam an mama villa,loyalty,positive,loyalty positive,yes,0,0
booking_full_368839:5,A great value .,a great value,branding,positive,branding positive,yes,0,0
booking_full_368839:6,the elevator is a bit small .,the elevator is a bit small,facility,negative,facility negative,yes,1,7
booking_full_359219:0,It was very clean .,it was very clean,facility,positive,facility positive,yes,0,0
booking_full_359219:1,the service was great .,the service was great,service,positive,service positive,yes,1,5
booking_full_359219:2,The staff helped us to book a cooking class and gave us a brief introduction and overview about hoi an .,the staff helped us to book a cooking class and gave us a brief introduction and overview about hoi an,service,neutral,service neutral,yes,0,0
booking_full_86584:0,Property was clean .,property was clean,facility,positive,facility positive,yes,0,0
booking_full_86584:1,great economical option to stay in Hue .,great economical option to stay in hue,branding,positive,branding positive,yes,0,0
booking_full_86584:2,the host was lovely .,the host was lovely,service,positive,service positive,yes,1,5
booking_full_40110:0,All good .,all good,branding,positive,branding positive,yes,0,0
booking_full_40110:1,Food could be better .,food could be better,service,negative,service negative,yes,0,0
booking_full_336250:0,"The breakfast was great , vegetarian preferences were catered to very well .","the breakfast was great , vegetarian preferences were catered to very well",service,positive,service positive,yes,0,0
booking_full_197250:0,perfect view .,perfect view,experience,positive,experience positive,yes,1,3
booking_full_136320:0,Very friendly and helpful staff .,very friendly and helpful staff,service,positive,service positive,yes,0,0
booking_full_136320:1,They help us to look for ideas on where to go and what to eat in no time .,they help us to look for ideas on where to go and what to eat in no time,service,positive,service positive,yes,0,0
booking_full_136320:2,Service was done in minimum time .,service was done in minimum time,service,positive,service positive,yes,0,0
booking_full_136320:3,Great location . Middle of Mui Ne allows for travelling to most sites in a short time .,great location . middle of mui ne allows for travelling to most sites in a short time,amenity,positive,amenity positive,yes,0,0
booking_full_136320:4,Wi Fi could be better .,wi fi could be better,facility,negative,facility negative,yes,0,0
booking_full_278146:0,The apartment was very clean and cosy .,the apartment was very clean and cosy,branding,positive,branding positive,yes,0,0
booking_full_278146:2,Everything was tidy and the AC helped a great deal on 30 degree days .,everything was tidy and the ac helped a great deal on 30 degree days,facility,positive,facility positive,yes,0,0
booking_full_278146:3,The staff was super friendly and helpful .,the staff was super friendly and helpful,service,positive,service positive,yes,0,0
booking_full_278146:4,We were very pleased with our stay .,we were very pleased with our stay,branding,positive,branding positive,yes,0,0
booking_full_17080:0,everything was good ! I liked the this room .,everything was good ! i liked the this room,branding,positive,branding positive,yes,0,0
booking_full_17080:1,"Everything is thought out to the smallest detail . curtains , water in glass bottles , im total satisfied .","everything is thought out to the smallest detail . curtains , water in glass bottles , im total satisfied",experience,positive,experience positive,yes,0,0
booking_full_17080:2,Great deal for this price .,great deal for this price,experience,positive,experience positive,yes,0,0
booking_hn_54815:0,the guys in the bar are really kind persons .,the guys in the bar are really kind persons,service,positive,service positive,yes,1,10
booking_full_165404:0,good location in Dong Van .,good location in dong van,amenity,positive,amenity positive,yes,0,0
booking_full_165404:1,no breakfast .,no breakfast,service,negative,service negative,yes,1,3
booking_full_165404:2,the door to the room was open before we arrived and the room was full of mosquitos as a result .,the door to the room was open before we arrived and the room was full of mosquitos as a result,facility,negative,facility negative,yes,1,21
booking_full_354805:0,clean spacious rooms .,clean spacious rooms,facility,positive,facility positive,yes,1,4
booking_full_354805:1,walkable to the city center .,walkable to the city center,experience,positive,experience positive,yes,1,6
booking_full_354805:2,Mr bean and Ms Nga were so friendly and welcoming .,mr bean and ms nga were so friendly and welcoming,service,positive,service positive,yes,0,0
booking_full_354805:3,I had horrible flight issues and they were so responsive wihh the changing my airport pick .,i had horrible flight issues and they were so responsive wihh the changing my airport pick,service,positive,service positive,yes,0,0
booking_full_354805:4,great breakfast too .,great breakfast too,service,positive,service positive,yes,1,4
booking_full_64518:0,beautiful property located a short walk from the main street but without any of the noise .,beautiful property located a short walk from the main street but without any of the noise,experience,positive,experience positive,yes,1,17
booking_full_64518:1,the host was so welcoming and helpful and made me feel right at home .,the host was so welcoming and helpful and made me feel right at home,service,positive,service positive,yes,1,15
booking_full_64518:2,"clean , comfortable beds with curtains and a hot shower .","clean , comfortable beds with curtains and a hot shower",facility,positive,facility positive,yes,1,11
booking_full_64518:3,the lights in the room are a bit dim .,the lights in the room are a bit dim,facility,neutral,facility neutral,yes,1,10
booking_full_380960:0,Closeness to the Old Town but away from the crowds .,closeness to the old town but away from the crowds,amenity,positive,amenity positive,yes,0,0
booking_full_380960:1,"Friendly , helpful staff .","friendly , helpful staff",service,positive,service positive,yes,0,0
booking_full_380960:2,attractivesness of the building .,attractivesness of the building,facility,positive,facility positive,yes,1,5
booking_full_380960:3,Lack of food avainable during the day .,lack of food avainable during the day,service,negative,service negative,yes,0,0
booking_full_380960:4,Sometimes staff slow at replenishing breakfast foods .,sometimes staff slow at replenishing breakfast foods,service,negative,service negative,yes,0,0
booking_full_51120:0,Very very nice place and people .,very very nice place and people,experience,positive,experience positive,yes,0,0
booking_full_51120:1,Good food .,good food,service,positive,service positive,yes,0,0
booking_full_228167:0,For us there wasn’t a possibility for a quite room .,for us there wasn’t a possibility for a quite room,facility,negative,facility negative,yes,0,0
booking_full_228167:1,"Karaoke till 22 . 30h is very loud , but not a problem if you stay up .","karaoke till 22 . 30h is very loud , but not a problem if you stay up",experience,negative,experience negative,yes,0,0
booking_full_228167:2,For food we would have preferred buffet style instead of set course menu’s .,for food we would have preferred buffet style instead of set course menu’s,service,negative,service negative,yes,0,0
booking_full_228167:3,Beautiful cruise .,beautiful cruise,facility,positive,facility positive,yes,0,0
booking_full_228167:4,Nice views and activities .,nice views and activities,experience,positive,experience positive,yes,0,0
booking_hcm_24711:0,Fantastic facilities .,fantastic facilities,facility,positive,facility positive,yes,0,0
booking_hcm_24711:1,housekeeping was really really good and front desk helpful .,housekeeping was really really good and front desk helpful,service,positive,service positive,yes,1,10
booking_hcm_24711:2,Apartment was excellent .,apartment was excellent,branding,positive,branding positive,yes,0,0
booking_hcm_24711:3,Few tables available for breakfast .,few tables available for breakfast,facility,negative,facility negative,yes,0,0
booking_hcm_24711:4,I was also asked to sign the bit of paper for checking me off the buffet list twice while I had food in my mouth .,i was also asked to sign the bit of paper for checking me off the buffet list twice while i had food in my mouth,service,negative,service negative,yes,0,0
booking_full_12772:0,There was a little bit noise from outside the room .,there was a little bit noise from outside the room,experience,negative,experience negative,yes,0,0
booking_full_306775:0,breakfast service can be improved .,breakfast service can be improved,loyalty,neutral,loyalty neutral,yes,1,6
booking_full_306775:1,It was hard to get utensils .,it was hard to get utensils,service,negative,service negative,yes,0,0
booking_full_306775:2,buffet food was not replenished immediately .,buffet food was not replenished immediately,service,negative,service negative,yes,1,7
booking_lamdong_14231:0,Very clean and nice apartment .,very clean and nice apartment,branding,positive,branding positive,yes,0,0
booking_lamdong_14231:1,Looks new and had 2 floors .,looks new and had 2 floors,facility,positive,facility positive,yes,0,0
booking_lamdong_14231:2,Friendly host .,friendly host,service,positive,service positive,yes,0,0
booking_lamdong_14231:3,Good coffee .,good coffee,service,positive,service positive,yes,0,0
booking_lamdong_14231:4,Some noice from road in the night even if the apartment not was on the front of the house .,some noice from road in the night even if the apartment not was on the front of the house,experience,negative,experience negative,yes,0,0
booking_lamdong_14231:5,Some free space on the sides make us hear the motorbikes clearly .,some free space on the sides make us hear the motorbikes clearly,experience,negative,experience negative,yes,0,0
booking_full_368001:0,IT was amazing .,it was amazing,branding,positive,branding positive,yes,0,0
booking_hn_27622:1,very helpful staff .,very helpful staff,service,positive,service positive,yes,1,4
booking_hn_27622:2,Room was clean and comfortable .,room was clean and comfortable,facility,positive,facility positive,yes,0,0
booking_hn_27622:3,Breakfast was really good too .,breakfast was really good too,service,positive,service positive,yes,0,0
booking_hn_27622:4,We had a room at the back so it was very quiet .,we had a room at the back so it was very quiet,experience,positive,experience positive,yes,0,0
booking_hn_27622:5,Staff couldn't be more helpful .,staff couldn't be more helpful,service,positive,service positive,yes,0,0
booking_full_336019:0,Staff were incredibly welcoming and helpful .,staff were incredibly welcoming and helpful,service,positive,service positive,yes,0,0
booking_full_336019:1,the room was lovely and the views from the poolside were amazing .,the room was lovely and the views from the poolside were amazing,experience,positive,experience positive,yes,1,13
booking_full_378994:0,Very close to the old town .,very close to the old town,amenity,positive,amenity positive,yes,0,0
booking_full_378994:1,extremely courteous staff .,extremely courteous staff,service,positive,service positive,yes,1,4
booking_hcm_60848:0,Fantastic location in District 1 .,fantastic location in district 1,amenity,positive,amenity positive,yes,0,0
booking_hcm_60848:1,being just a short walk away to some good eateries and various point of interests .,being just a short walk away to some good eateries and various point of interests,amenity,positive,amenity positive,yes,1,16
booking_hcm_60848:2,"Comfortable and clean room , great bathroom .","comfortable and clean room , great bathroom",facility,positive,facility positive,yes,0,0
booking_hcm_60848:3,friendly helpful staff who greets you with a big smile .,friendly helpful staff who greets you with a big smile,service,positive,service positive,yes,1,11
booking_hcm_60848:4,"The air conditioner does not seem to be working well , barely cool down the room even after an hour .","the air conditioner does not seem to be working well , barely cool down the room even after an hour",facility,negative,facility negative,yes,0,0
booking_full_236488:0,The hotel is a nice building .,the hotel is a nice building,facility,positive,facility positive,yes,0,0
booking_full_236488:1,The rooms clean and comfortable .,the rooms clean and comfortable,facility,positive,facility positive,yes,0,0
booking_full_236488:2,For 4 stars the service isn't quite what you expect .,for 4 stars the service isn't quite what you expect,branding,negative,branding negative,yes,0,0
booking_full_236488:3,The staff are lovely but the access to service from staff isn't quite what's expected from a 4 star hotel .,the staff are lovely but the access to service from staff isn't quite what's expected from a 4 star hotel,branding,negative,branding negative,yes,0,0
booking_full_236488:4,The pool wasn't available when we stayed there which was a shame as Ha long city itself is a bit like the benidorm or Vietnam .,the pool wasn't available when we stayed there which was a shame as ha long city itself is a bit like the benidorm or vietnam,facility,negative,facility negative,yes,0,0
booking_hcm_36778:0,great location and rooftop swimming pool .,great location and rooftop swimming pool,branding,positive,branding positive,yes,1,7
booking_hcm_36778:1,having to go down to the ground floor and find security to get access to floor 21 pool .,having to go down to the ground floor and find security to get access to floor 21 pool,service,negative,service negative,yes,1,19
booking_hn_40522:0,Staff kind and attention .,staff kind and attention,service,positive,service positive,yes,0,0
booking_hn_40522:1,"In special David , he is an amazing person , always avaiable to help me for all .","in special david , he is an amazing person , always avaiable to help me for all",service,positive,service positive,yes,0,0
booking_hn_40522:2,Good breakfast .,good breakfast,service,positive,service positive,yes,0,0
booking_hn_40522:3,excellent location .,excellent location,amenity,positive,amenity positive,yes,1,3
booking_full_372453:0,The pool was very good .,the pool was very good,facility,negative,facility negative,yes,0,0
booking_full_372453:1,breakfast was excellent .,breakfast was excellent,amenity,positive,amenity positive,yes,1,4
booking_full_372453:2,the beach beautiful & safe .,the beach beautiful & safe,amenity,positive,amenity positive,yes,1,6
booking_full_372453:3,Only thing they could do is put a more private door on bathroom .,only thing they could do is put a more private door on bathroom,facility,negative,facility negative,yes,0,0
booking_full_186167:0,the breakfast was just acceptable .,the breakfast was just acceptable,service,neutral,service neutral,yes,1,6
booking_full_186167:1,I think it did not meet my expectations there is few thing I didn't like .,i think it did not meet my expectations there is few thing i didn't like,service,negative,service negative,yes,0,0
booking_hcm_83029:0,the pool was amazing .,the pool was amazing,facility,positive,facility positive,yes,1,5
booking_hcm_83029:1,it was also good experience .,it was also good experience,experience,positive,experience positive,yes,1,6
booking_hcm_83029:2,"to get to the floor I stayed , I scanned the room key in the elevator , it did not work 3 times during I stayed .","to get to the floor i stayed , i scanned the room key in the elevator , it did not work 3 times during i stayed",amenity,neutral,amenity neutral,yes,0,0
booking_hcm_83029:3,"I booked for 2 nights , but the room key did not work for my room as well on the 2nd night .","i booked for 2 nights , but the room key did not work for my room as well on the 2nd night",amenity,negative,amenity negative,yes,0,0
booking_full_341112:0,"The hotel is excelent , boutique style and very chic .","the hotel is excelent , boutique style and very chic",branding,positive,branding positive,yes,0,0
booking_full_341112:1,The breakfast was great .,the breakfast was great,service,positive,service positive,yes,0,0
booking_full_341112:2,The rooms are huge and very clean .,the rooms are huge and very clean,facility,positive,facility positive,yes,0,0
booking_full_371055:0,"Location , view , very nice .","location , view , very nice",amenity,positive,amenity positive,yes,0,0
booking_full_371055:1,friendly staff .,friendly staff,service,positive,service positive,yes,1,3
booking_full_371055:2,Really nice stay .,really nice stay,branding,positive,branding positive,yes,0,0
booking_full_370531:0,"Very friendly and helpful host , only too happy to help .","very friendly and helpful host , only too happy to help",service,positive,service positive,yes,0,0
booking_full_370531:1,Good location - about 20 min walk to the river .,good location - about 20 min walk to the river,amenity,positive,amenity positive,yes,0,0
booking_hcm_46598:0,friendly staff .,friendly staff,service,positive,service positive,yes,1,3
booking_hcm_46598:1,"Well renovated , and cozy .","well renovated , and cozy",facility,positive,facility positive,yes,0,0
booking_hcm_46598:2,I will definitely come back again .,i will definitely come back again,loyalty,positive,loyalty positive,yes,0,0
booking_full_71519:0,It's really very clean .,it's really very clean,facility,positive,facility positive,yes,0,0
booking_full_71519:1,the environment which is awesome .,the environment which is awesome,experience,positive,experience positive,yes,1,6
booking_hcm_64114:0,Amazing hospitality .,amazing hospitality,service,positive,service positive,yes,0,0
booking_hcm_64114:1,comfortable rooms and cozy place .,comfortable rooms and cozy place,facility,positive,facility positive,yes,1,6
booking_hcm_64114:2,Wonderful atmosphere and nice stuff .,wonderful atmosphere and nice stuff,experience,positive,experience positive,yes,0,0
booking_full_121831:0,It was nice and comfy .,it was nice and comfy,branding,positive,branding positive,yes,0,0
booking_full_121831:1,if they can keep it a bit more clean ; would perfect .,if they can keep it a bit more clean ; would perfect,facility,neutral,facility neutral,yes,1,13
booking_full_121831:2,Honestly I like receptionist she was very friendly and positive .,honestly i like receptionist she was very friendly and positive,service,positive,service positive,yes,0,0
booking_hn_53260:0,Staff super friendly and helpful with our onward travels .,staff super friendly and helpful with our onward travels,service,positive,service positive,yes,0,0
booking_hn_53260:1,we were on the top floor Could see through the privacy curtains when the bed light was on .,we were on the top floor could see through the privacy curtains when the bed light was on,experience,negative,experience negative,yes,0,0
booking_hn_53260:2,Great location .,great location,amenity,positive,amenity positive,yes,0,0
booking_hn_53260:3,Free breakfast .,free breakfast,service,positive,service positive,yes,0,0
booking_hn_53260:4,Lovely terrace and view .,lovely terrace and view,facility,positive,facility positive,yes,0,0
booking_hn_11401:0,Location was perfect .,location was perfect,amenity,positive,amenity positive,yes,0,0
booking_hn_11401:1,Breakfast needed more options .,breakfast needed more options,service,neutral,service neutral,yes,0,0
booking_full_358008:0,Great hotel .,great hotel,branding,positive,branding positive,yes,0,0
booking_full_358008:1,throughly enjoyed our 7 night stay here .,throughly enjoyed our 7 night stay here,experience,positive,experience positive,yes,1,8
booking_hn_42978:0,Room was spacious and comfortable .,room was spacious and comfortable,facility,positive,facility positive,yes,0,0
booking_hn_42978:1,Breakfast was amazing .,breakfast was amazing,service,positive,service positive,yes,0,0
booking_hn_42978:2,the staff were very friendly and helpful at all times .,the staff were very friendly and helpful at all times,service,positive,service positive,yes,1,11
booking_hn_42978:3,"We had a room with a shower over the bath , which I usually try to avoid , and the poor design of the bath meant that water leaked onto the floor making it hazardous .","we had a room with a shower over the bath , which i usually try to avoid , and the poor design of the bath meant that water leaked onto the floor making it hazardous",facility,negative,facility negative,yes,0,0
booking_hn_42978:4,Lovely hotel in a fantastic location . 1 min walk to the lake and lots of excellent restaurants all around the hotel .,lovely hotel in a fantastic location . 1 min walk to the lake and lots of excellent restaurants all around the hotel,amenity,positive,amenity positive,yes,0,0
booking_full_205635:0,"When you go to a place and it is beyond expectations , it's a rare occurrence .","when you go to a place and it is beyond expectations , it's a rare occurrence",branding,positive,branding positive,yes,0,0
booking_full_205635:1,The room is comfortable .,the room is comfortable,facility,positive,facility positive,yes,0,0
booking_full_205635:2,the amenities are great .,the amenities are great,amenity,positive,amenity positive,yes,1,5
booking_full_205635:3,You can't beat the location or price .,you can't beat the location or price,experience,positive,experience positive,yes,0,0
booking_full_205635:4,The hosts ! They go above and beyond to help facilitate whatever one needs .,the hosts ! they go above and beyond to help facilitate whatever one needs,service,positive,service positive,yes,0,0
booking_full_165493:0,Charming place .,charming place,experience,positive,experience positive,yes,0,0
booking_full_165493:1,super helpful host .,super helpful host,service,positive,service positive,yes,1,4
booking_full_201843:0,"the place is perfect if you would like some privacy , isolation and a getaway from your city life .","the place is perfect if you would like some privacy , isolation and a getaway from your city life",branding,positive,branding positive,yes,1,20
booking_full_201843:1,It is really being isolated in an island and enjoying nature .,it is really being isolated in an island and enjoying nature,experience,positive,experience positive,yes,0,0
booking_full_201843:2,it was difficult to converse or make any requests without using google translation .,it was difficult to converse or make any requests without using google translation,experience,neutral,experience neutral,yes,1,14
booking_full_201843:3,"Minimal conversation , hence better to go with family , no solo trip for these places .","minimal conversation , hence better to go with family , no solo trip for these places",experience,neutral,experience neutral,yes,0,0
booking_full_201843:4,I liked the naturistic view of the place .,i liked the naturistic view of the place,experience,positive,experience positive,yes,0,0
booking_full_201843:5,the peace and serenity you can get being beside the sea .,the peace and serenity you can get being beside the sea,experience,positive,experience positive,yes,1,12
booking_hn_82413:0,Great hotel in an awesome location .,great hotel in an awesome location,branding,positive,branding positive,yes,0,0
booking_hn_82413:1,"The staff are amazing , they helped search , book and accommodate all our needs during our stay .","the staff are amazing , they helped search , book and accommodate all our needs during our stay",service,positive,service positive,yes,0,0
booking_hn_82413:2,Would highly recommend .,would highly recommend,loyalty,positive,loyalty positive,yes,0,0
booking_full_358048:0,beautiful hotel only a minutes walk into the ancient town .,beautiful hotel only a minutes walk into the ancient town,amenity,positive,amenity positive,yes,1,11
booking_full_321291:0,"Our family love our deluxe room , very spacious , very clean .","our family love our deluxe room , very spacious , very clean",facility,positive,facility positive,yes,0,0
booking_full_321291:1,"Right in the middle of the city , close to all the local restaurants and bars .","right in the middle of the city , close to all the local restaurants and bars",amenity,positive,amenity positive,yes,0,0
booking_full_321291:2,Very happy with our stay .,very happy with our stay,branding,positive,branding positive,yes,0,0
